班次,方向,出發站,出發時間,到達站,到達時間
31,回程,向山行政中心,18:45,日月潭,19:00
31,回程,日月潭,19:00,高鐵臺中站,20:20
32,去程,高鐵臺中站,17:30,日月潭,18:50
32,去程,日月潭,18:50,向山行政中心,19:05
32,回程,向山行政中心,19:15,日月潭,19:30
32,回程,日月潭,19:30,高鐵臺中站,20:50
33,去程,高鐵臺中站,18:00,日月潭,19:20
33,去程,日月潭,19:20,向山行政中心,19:35
33,回程,向山行政中心,19:45,日月潭,20:00
33,回程,日月潭,20:00,高鐵臺中站,21:20
