班次,方向,出發站,出發時間,到達站,到達時間
20,回程,日月潭,15:30,高鐵臺中站,16:50
21,回程,高鐵臺中站,17:00,日月潭,15:40
21,回程,高鐵臺中站,17:00,向山行政中心,15:30
21,回程,日月潭,15:40,高鐵臺中站,17:00
21,回程,日月潭,15:40,向山行政中心,15:30
21,回程,向山行政中心,15:30,高鐵臺中站,17:00
21,回程,向山行政中心,15:30,日月潭,15:40
22,回程,高鐵臺中站,17:20,日月潭,16:00
22,回程,日月潭,16:00,高鐵臺中站,17:20
23,回程,高鐵臺中站,17:50,日月潭,16:10
23,回程,日月潭,16:10,高鐵臺中站,17:50
24,回程,高鐵臺中站,18:00,日月潭,16:40
24,回程,高鐵臺中站,18:00,向山行政中心,16:30
24,回程,日月潭,16:40,高鐵臺中站,18:00
24,回程,日月潭,16:40,向山行政中心,16:30
24,回程,向山行政中心,16:30,高鐵臺中站,18:00
24,回程,向山行政中心,16:30,日月潭,16:40
25,回程,高鐵臺中站,18:50,日月潭,17:10
25,回程,日月潭,17:10,高鐵臺中站,18:50
26,回程,高鐵臺中站,19:50,日月潭,18:25
26,回程,日月潭,18:25,高鐵臺中站,19:50
